Hospital Name,Address,Pin Code,PhONE NO,Fax,LATITUDE,LONGITUDE
Gangothri Hospital,"#27, Kuvempu Nagar, (Btm.Layout)100 Ft Ring Road",560076,080-26682734,080-26682734,12.9162878,77.6138218
Geetha Hospital,"Old Madras Road, Ramapura Crossnear Cipla Factory",560049,080-25913935,080-28915803,13.0357169,77.7351701
Hitech Kidney Stone Hospital,"6/7, Cresent Road, Crosshigh Grounds",560001,080-51136035,080-22207113,12.9878104,77.5809833
P.D. Hinduja Sindhi Hospital,"12Th A Cross,Sampangiram Nagar",560027,080-49060600,080-22237527,12.964414,77.59263899
Hosmat Hospital,"No-45, Magrath Road, Off Richmond Road",560025,080-25593796,080-41124695,12.9691122,77.61330703
Jayashree Nursing Home,No 4 4 Th Cross Kumara Park,560020,080-23440981,080- 23460858,12.99111,77.5777982
Jai Maruthi Hospital,"#208 & 210, Hegganahallimain Road",560091,080-28361097,080-28364760,13.0068811,77.5055636
Kamala Nursing Home,"# 1077,14Th Main Hanumanthanagar",560019,080-26607445,080-26607445,12.9450536,77.5586486
Ketham'S Hospital Pvt Ltd,"#51/2, Nanjappa Main Road, Vidyaranyapura",560097,080-28386118,080-42107094,13.0686568,77.5582571
Koshys Hospital,"T.C Palya, Main Road, Raghavendra Nagar",560016,080-25658011,080-25658044,13.0207033,77.6760593
Kruthika Hospital,Nanjappa Vidyaranyapura Mainroad,560097,080-28385111,080-41626193,13.0650144,77.5041964
Kumar Nethralaya,#562 Rajajinagar 2Nd Block Near Rajkumar Road Esi Hospital,560010,080-23424844,080-23424844,12.9907644,77.5568951
Lakeside Medical Centre,33/4 Meanee Avenue Road,560042,080-25566738,080-25512934,12.9878631,77.6177434
Lokhande'S Hospital,"#3, Ac902, 3Rd Cross. 9Th Amainhrbr Layout, Kalyannagar.Hrbr Layout, Kalyananagar",560043,080-25456222,080-25453282,13.0186045,77.6479433
Lakshmi Maternity Home,"#95, 15Th Cross, Margosa Road, Malleswaram",560055,080-23563016,080-23563016,13.0058226,77.5694512
Lakshmi Nursing Home,"#567, Chokkasandra, Tumkur Road T-Dasarahallit.Dasarahalli",560057,080-28396992,080-28911190,12.9928414,77.5753482
Maharaja Agrasen Hospital,"15Th Main, Padmanabha Nagar",560070,080-26393361,080-26391600,12.915903,77.5550223
Mallya Hospital,"# 2, Vittal Mallya Road",560001,080-22277979,080-22242326,12.96797975,77.59507448
Mamta Hospital,"# 12, D. Rajagopal Road, Amar Jyothi Layout, Next To Food World, Nagashetty Halli, Sanjay Nagar",560094,080-23415836,080-23564904,13.0377564,77.5744454
Manasa Hospital,No 149 15Th Main Iv Blockiii Stage Basaveswaranagar,560079,080-23235599,080-23238080,12.968821,77.5246297
Mirlay Eye Care,"No. 9, St. John'S Church Road, (Opp. St John'S Community Center) Next To Bharathi Nagar Police Station, Bharathi Nagar",560005,080-25558414,080-25558414,12.9911349,77.6126146
Mangal'S Nursing Home,"1152, 3Rd Main, 6Th Cross, K.N Ext Yashavanthapur",560022,080-23472725,080-23577866,13.0220526,77.5576729
Manjunatha Maternity Home & Surgical Centre,"90/1, West Park Road, Malleshwaram",560055,080-23341332,080-23562349,13.0077265,77.5696993
Akshay Mallya Hospital,"Varthur Main Road, Marathalli",560037,080-65658127,,12.9568527,77.6990468
Mathru Hospital,"No.2094, Railway Parallel Road, Kengeri Satellite Town",560060,080-28484238,080-26919662,12.9110975,77.4806057
Mathru Shree Hospital,"#33, Mei Colony, Laggere Main Road, Laggere",560058,080-28396389,,13.093893,77.39299
Namratha Nursing & Maternity Home,"No.158, 6Th Main, 2Nd Stage, 2Nd Phase, West Of Chord Road, 6Th Main",560086,080-23595433,080-23595433,13.0045747,77.5432728
Narayana Nethralaya,"C-121, Chord Road, Rajajinagar 1St R Block.R Block",560010,080-66121312,080-23377329,13.01152045,77.55210694
Nayak Hospital,"3367, 5Th Cross, Gayathri Nagar.Gayathri Nagar",560021,080-23327111,080-23327111,12.9993857,77.5606403
Neha Prakash Hospital,"# 8, 6Th Main Road, 5Th Phase, Rail -Weel Factory Yelahanka New Townyelahanks New Town",560064,080-28565696,080-28565697,13.10773135,77.57172995
Oxford Hospital,"# 1364, 41St Main Sarakki Gatekanakapura Road, J.P. Nagar",560078,080-26635880,,12.9312101,77.5756907
Padmavathi Hospital,"#67/1, Hvr Complex, Magadi Road",560072,080-23289571,080-22928018,12.9817311,77.5333714
Patil Hospital,"#42-B1, Below Synicate Bank, Sri Thimmappa Complex, Old Madras Road, Krishnarajapuram.- 5600036",560036,080-32003633,080-25613828,13.011214,77.6979598
Prabha Eye Clinic,"No.504, 40Th Cross, 8Th Block, Jayanagar, Jayanagar",560070,080- 26659595,080-22446360,12.9197167,77.5753405
Prasad Eye Hospital,"# 11, Krishna Nagar, Hosur Main Road",560029,080-41106887,080-41230663,12.9351929,77.6086817
Prasad Hospital,"#1494, B.H. Road Nelamangala Town",562123,080-27722112,080-27722273,12.9603312,77.5300796
Pranav Hospital,"Annaiah Reddy Layout, Ramurthy Nagarramamurthy Nagar Main Road",560043,080-25458150,080-41630466,13.0770012,77.5581038
Pradnya Nethralaya,"#4, 6Th Cross Dinnur Road Ganesha Block Rt Nagar Opp White House Apartments",560032,080-23431020,080-23431020,13.0244555,77.6003999
Radhakrishna Multispeciality Hospital,"No. 3-4, Sun-Rise Towers J.P. Road,  Girinagar",560085,080-26422977,080-26720222,12.94096775,77.54556049
Rajalakshmi Multi Speciality Hospital,"76-1-1, Sarakki Main Road. 1St Phase",560078,080-22440729,080-22457277,12.91646005,77.57957293
Rashmi Hospital,"190,Double Road,Indiranagar 2Nd Stage",560038,080-25251573,080-25200447,12.9766951,77.6362278
Ravi Kirloskar Memorial Hospital,"19, 2Nd Main Road 1 Phasepeenya Industrial Area",560058,080-42602431,080-41172984,13.0384642,77.52770783
Republic Hospital,"No.5,  Langford Garden",560025,080-22211762,080-22118535,12.964162,77.5982255
Reddy Hospital,"#1590, East End Main Road, 39Th Block Jayanagarcross, 9Th Block, Jayanagar",560069,080-22454706,080-26911143,12.975403,77.6470594
S.J.Hospital,"#2, Ngef Layout, Sanjayanagar Main Rod, Opp To Vaibhav Theatre",560094,080-23416836,080-23512638,13.0360827,77.575065
Sagar Hospitals,"44/45, 30Th Cross, Tilaknagar",560041,080-42888888,080-41179997,12.92789135,77.59983771
Saraswathi Hospital,"39, 17Th C Cross8Th B Main, Bsk 2Nd Stage",560070,080-26760363,,12.9276382,77.568896
Sathya Hospital,"# 45, C.Ramaiah Layout, Kammanahalli Main Road St.Thomas Town Postkamanahalli Main Road",560084,080-25443604,080-25443415,13.0185503,77.6364728
Shaker Nursing Home,"#260, Sampige Road, Near 17Thcrossmalleshwaram",560003,080-23345901,080-41535313,13.0074887,77.5708352
Shekhar Hospital,"81, Bull Temple Road",560019,080-22421144,080-26676996,12.945944,77.567404
Sukruthi Eye Care Microsurgical Centre,"148, Xi Cross, Vyalikaval, Malleswaram 11 Th Crossmalleswaram",560003,080-23566251,080-23363286,13.0020083,77.5763887
Sri Krishna Hospital,"# 154, 29Th Cross, 17Th Mainbanashankari 2Nd Stage",560070,080-26711212,080-26712433,12.9215013,77.5655432
Sri Ram  Hospital,162 4Th Main 1St Cross Opp Post Officeviveknagar,560047,080-25714323,080-25716729,13.0096231,77.6924713
Sri Sai Ram Hospital,"# 33, Bannerghatta Road (Service Road) B.T.M.Layoutb.T.M. Layout 2Nd Stage",560076,080-41202341,080-26912649,12.8943049,77.5682821
Sri Vinayaka Hospital,"1222, 80 Feet Road, Chandra Layoutchandra Layout",560040,080-23398062,080-23215600,12.9575029,77.5276466
St.John'S Medical College  Hospital,"Johnnager, Koramangala.Koramangala",560034,080-22065173,080-25635474,12.92967835,77.61835854
St.Martha'S Hospital,"No.5, Nrupathunga Road",560001,080-40128200,080-41140068,12.906113,77.542548
Sunayana Eye Hospital,"#1156, 26Th Main, 4Th T Block, Jayanagar",560041,080-22442356,080-26646484,12.9255233,77.5937748
Sundar Hospital,"#1&2, Hennur Main Road, Lingarajpuram",560084,080-25478586,080-25481315,13.0080166,77.6221479
Sunetra Eye Hospital,"# 519/34, 2Nd Cross, 10Th Main, Banashankari 1St Stage",560050,080-22410500,080-25905206,12.9404548,77.5578493
Supra South City Hospital,"# 2, Chandra Complex, J.P.Nagar 7Th Phase Puttenahalli7Th Phase, J, P Nagar",560078,080-26634617,080-26634617,12.8919509,77.5799654
Suresh Hospital,"# 723/B, 3Rd Block, Esi Hospital Road Rajajinagar",560010,080-23382867,080-23118726,12.9897745,77.5551014
Sri Sai Eye Hospital,"# 311 4B Cross,Ramamurthynagar",560016,080-25658459,080-25662866,13.011968,77.6659168
St. Theresa'S Hospital,"1St Block, Rajkumar Road, Rajajinagar",560010,080-23472772,080-23472772,13.00683545,77.55310607
Tandon Eye Clinic,"#39, 7Th Cross, Vasanthnagar",560052,080-22256115,080-22256107,12.991859,77.5917461
Radha Maternity & Surgical Hospital,"#71, Mill Road, Cottonpet",560053,080-26702006,080-25997213,12.9690441,77.5688544
The Eye Surgical Centre,"# 1032, Sai Deep, 20Th Main, 5Th Block, Rajaji Nagar",560010,080-23309722,080-23309722,12.9821954,77.5493143
Trinity Hospital & Heart Foundation,"# 27, Rammandir Road, Near R.V. Teacher'S College Circle, Basavanagudi.Basavanagudi",560004,080-40136999,080-26563995,12.9434791,77.57943238
Udhbhava Hospital,"14, 100Ft Ring Roaf, Banashankari 3Rd Stage",560085,080-26693032,080-26693033,12.9256842,77.5489346
Vaidyam Hospital,"# 851/D, 60Th Cross, 5Th Block, Rajajinagagar",560010,080-23353525,,12.9845512,77.5528322
Venlakh Hospital,"123, 5Th Main Roadchamarajpet",560018,080-26508118,080-22423653,12.9572978,77.5644522
Vidya Eye Hospital,"47/E, 15Th Main, M.C Road, Vijayanagar",560040,080-23389854,080-23201131,12.9707429,77.5377684
Vijaya Nethralaya,"No. 05, 20Th Cross, Malgala Under Pass, Ring Road, Nagarbhavi 2Nd Stage",560091,080-30163800,080-30163899,12.9416358,77.5629853
Vijaya Hospital,"#13, 6Th Cross, T.Dasarahalli Main Road T.Dasarahalli, Near Nh",560057,080-28378265,080-28378265,12.96767,77.5226459
Vivekananda Hospital,"# 200, B.U.S. Complex, Bannerugatte Road, Billekahaly",560076,080-30614826,080-42176094,13.0070245,77.5544693
Vijaya Ent Care Centre,"# 1, 9Th Cross, Malleswaram",560003,080-23311837,080-23361727,13.000058,77.5696143
Varalakshmi Hospital,"# 38/2, 2Nd Main Road, Madiwala New Extension",560068,080-25539565,080-25539565,12.924624,77.6170966
N.R.V. Hospital,V.N.Cros Opp Reliance Petrol Pump B.B. Road,562157,080-28467855,080-28467855,13.1631138,77.6293449
Kaveri Speciality Hospital,"#15/2, 4Th Cross, Hosur Main Road, Madiwala",560068,080-25537036,080-25537036,12.9236768,77.6193111
Sri Ram Nursing Home,"#887, 7Th Main, Raghavendra Block, 50 Feet Main Road, Srinagar",560050,080-26752006,080-26752006,12.942159,77.551764
Sri Sai Clinic & Maternity Home,"#652, 46Th Cross A 3Rd Block, Rajajinagar",560010,080-23351958,080-23151958,12.9880313,77.5557142
Bangalore Eye Hospital & Retina Centre,"4C, 426 4Th Cross, 2Nd Block, Kalyannagar",560043,080-25421333,080-25902546,13.0221036,77.6387729
Abhilash Hospital & Sara Rehabilitation Centre,"#271, 1Ooft Ring Road, 5Th Block, 3Rd Phase, 3Rd Stage, Banashankri",560085,080-26697114,080-41723327,12.9246384,77.5509238
Vathsalya Speciality Hospital,"#565, 3Rd Stage, 4Th Block, Basaveshwaranagar",560079,080-23239732,080-23239978,12.9939752,77.5391801
Hcg Double Road,"#44-45/2, 2Nd Cross, Raja Ram Mohan Roy Extension.Lalbagh Road",560027,080-22225644,080-22483380,12.9605309,77.592659
Jayanagar Orthopaedic Centre,"# 24/1-1, 14Th Main, 4Th Block East, Jayanagar",560011,080-26632735,080-26632736,12.9293288,77.5877091
Karanth Speciality Hospital,"#307, 100Ft Ring Road, Btm Layout Last Bus Stop.100 Feet Ring Road, B.T.M",560068,080-26680886,080-26680886,12.9160081,77.6193573
Sri Vivekananda Sevashrama,"#39, 8Th B Main Raod, Bsk 2Nd Stage",560070,080-26766996,080-26766996,12.9253299,77.5711893
Vinayaka Hospital,"#110, 80Ft. Road, S>B>M? Colony, Bsk 1St Stage, Hanumanthanagarhanumanthanagar",560050,080-26796167,080-26794133,12.93753,77.549675
Vagh Eye Centre,"73/1-2, 1St Floor, Infantry Road",560001,080-25584156,080-25589407,12.9799788,77.6056145
Manipal Hospital,"#98, Rustam Bagh, Old Airport Road, Vimanapura, Bangalor",560017,080-25024444,080-25261151,13.0509696,77.5938648
Saikrupa Hospital For Women & Surgical Centre,"20Th B Cross, Marenahalli Main Road, Vijayanagar",560040,080-23116492,080-23116492,12.9691657,77.5351921
Spandana Nursing Home,"# 546/46, 6Th Main, 4Th Blockrajajinagar",560010,080-23353500,080-23147995,12.9848505,77.5581537
Amrik Nethralaya,"#346, Hrbr 1St Kalyan Nagar, 4Th Cross, 7Th B Main",560043,080-25424714,080-41615009,13.0195531,77.6443814
Deepa Hospital,"# 27, Old Madra Road K.R. Puram Ext",560036,080-30911166,080-25610123,13.0120509,77.6998816
Supriya Hospital,"# 15/1, Ayyappaswamy Temple Road, Prakashnagar",560021,080-23522366,,12.9929043,77.5588015
Lakshmi Hospital,"402, 2Nd Cross Judges Colony",560032,080-23333241,080-22924845,13.1579281,77.6252103
Manjushree Hospital,"# 91, Kavalbyrasandra, Dr. A.M.C. Road, R.T.Nagar, Opposite P&T Quatres",560032,080-23632781,080-23657196,12.9825845,77.6124926
Meenakshi Ent Speciality Centre,"# 2232, 23Rd Cross, Banashankari Ii Stagebanashankari 2Nd Stage, ",560070,080-26764621,080-26762892,12.8832766,77.5829876
Vinayaka Nethralaya,"#68, 100 Feet Ring Road, Btm Layout",560076,080-26685891,080-26685891,12.9164779,77.6033811
Rajarajeshwari Medical College And Hospital,"Rajarajeshwari Medical College, Kambipura",560074,080-57661805,080-28437878,12.89386335,77.46361973
Hcg Hospitals,"11/2, Magadi Main Road, Agarahara Dasarahalli, Bangalore-560079",560079,080-43108100,080-43108105,12.9605309,77.592659
Sreenagar Nursing Home,"#855, Ramanjaneya Main Road, Sreenagar",560050,080-22428830,080-22428830,12.9443766,77.5551899
Soukya Hospital,"#17, N.T.I Layout, Vidyaranyapura Main Road",560097,080-23642029,080-23642029,13.0774744,77.5587548
Spurthy Hospital,"# 22, 1St Main Chocolate Factory Road, Tavarekere Btm 1St Stage",560029,080-26844042,080-25978989,12.923857,77.611355
Trupti Nursing Home,"# 463, 1Block, 3Rd Stage, Basaveshwar Nagar",560079,080-23220269,080-23220269,12.9946566,77.5397544
Manipal Polyclinic & Nursing Home,"#291, Main Road, Ramamurthy Nagar",560016,080-25909853,080-25661807,13.0115263,77.6700582
Sri Maruthi Hospital,"# 50, Kondappa Garden, Kogilu Road",560064,080-28571526,080-28571537,12.9926441,77.5742046
Sree Lakshmi Hospital,"21St Cross, Kaggadasapura Main Road, C.V.Raman Nagar Post",560093,080-41676336,080-41706967,12.9825937,77.6814736
Sree Ranga Hospital,"No.1/7, 1St Floor, Nagadevanahalli Bus Stop, Kengari Post",560056,080-26602718,080-26602718,12.9358669,77.4927128
Sri Vinayaka Nursing Home,"No.3033, 8Th Main, 80 Feet Road, Hal 2Nd Stage",560008,080-25281044,080-41523616,12.9729726,77.6463407
Sri Venkateshwara Hospital,"1St Main Road, Peenya 2Nd Stage",560058,080-28361441,080-28361441,13.0423919,77.5136653
Kamala Nethralaya,"No.81, 7Th Cross, 4Th Block, Near Bda Complex, Koramangala",560034,080-25526944,,12.9314314,77.6233582
Retina Institute Of Karnataka,"No.122, 5Th Main Road, Opp To Osteen College, Chamarajpet",560018,080-22410106,080-26607811,12.95727,77.5640827
North Star Maternity & Nursing Home,"#4, Sarakki Industrial Estate, 3Rd Phase, J.P.Nagar, Bannerghatta Road",560076,080-26583903,080-26583903,12.9067079,77.5849275
Suguna Hospital,"1A/87, Dr. Rajakumar Road, 4Th N Block, Rajajinagar",560010,080-40194444,080-40948558,12.9881799,77.56007546
Vijayanagar Global Hospital,"#46, 17Th Cross. M.C. Road",560040,080-2342442,080-23151784,12.9717905,77.5372864
Sri Ram Hospital,"#107/2, K.R. Puram Nishvasaha Centre, Old Madras Road, -5600036",560036,080-25610988,080-25610988,13.0096231,77.6924713
Shreya Hospital,"# 73, 6Th Cross, 3Rd Main, Kengeri Satellite Town, ",560060,080-28482958,080-28485042,12.9621516,77.533401
Y.K. Hospital,"C A Plot 65 Ring Road, Jiganiindustrial Area",562106,08110-414397,,12.7796608,77.6347804
Gurukripa Health Care Centre,"#30, 1St Floor, Galeyara Balaga Bus Stop, Mahalaxmipuram",560086,080-23492619,080-23191563,13.0001802,77.5461146
Lakshmi Nursing Home,"#86, 2Nd Main Road, Seshadripuram",560020,080-23670610,080-23670613,12.9928414,77.5753482
Bhagwan Mahaveer Jain Hospital,"No.17, Millers Road, Vasanthnagar",560052,080-22207640,080-22261153,12.991652,77.59514884
Shekhar Hospital,"# 942, 28Th Main, 9Th Blockjayanagar",560069,080-22454223,080-26533806,12.945944,77.567404
Mysore Hospital,"#35/6, Industrial Subued, Gurgentepalya, Yeshwanthpur",560022,080-22900049,080-41276265,13.0275337,77.5397051
Shanmuga Nursing Home,"#9/8, Sulthanpalya Main Road",560032,080-23336823,,13.0241654,77.6033556
Cauvery Orthopaedic Centre,"#408, 20Th Main, W.O.C.Road, 1St Block, Rajajinagar",560010,080-23125577,080-23125577,12.9984887,77.5504219
Akshaya Nethralaya,"#227/A, Vidyagiri Layout N Exit O Axis Bank Nagarbhavi Circle",560072,080-23390350,080-23147173,12.9575968,77.5189881
Acharya Tulsi Jain Hospital,"Mom(M)W6-P-6, #22/2-1, 6Th Cross, K.N Extension",560022,080-23374677,080-23373337,13.0218344,77.5567093
Sri Sai Krupa Hospital,"#19/A, Opp Lic, Mathikere Main Road",560054,080-23471367,080-23376254,13.0294181,77.5593857
Raksha Multispeciality Hospital,"#141/142, 1St Main, Police Quarters, Khb Colony, Nandini Layout",560096,080-23471005,080-23373592,13.0195733,77.5419559
Eye Care Centre,"#57, 13Th Main, 4Th Block East, Jayanagar",560011,080-26630063,,12.9883622,77.53432613
Ashraya Hospital,"#26, Jetiappa Complex, Yelachenahalli, Kanakapura Rd",560078,080-26669130,080-6669130,12.988865,77.5078006
Varna Nursing Home,"# 513/2Nd Cross, 8Th Main, Bsk 1St Stage, 2Nd Block",560050,080-26673410,080-26618575,12.9403953,77.558544
Trinetraalaya Eye Care & Surgical Centre,"22/2, 13Th Main, Banashankari1St Stage, 1St Block, Srinagar",560050,080-51203583,080-26679135,12.943838,77.5537472
Ring Road Hospital,"# 129, 1 Main Road, Kattriguppe, 3Rd Stage, Banashankari",560085,080-26797040,080-26594271,12.9274553,77.5516293
Harsha Hospital,"# 193/4, Nh 4, Sondekoppa Circle, Nelamangala",562123,080-27723697,080-27723697,13.09314935,77.39562779
Balaji Nursing Home,Dommasandra Bus Stop,562125,080-27822092,080-27822092,12.9561944,77.5460348
Roshni Nursing Home,"# 16/10 3Rd Main, 14Th Cross, Wilson Garden",560030,080-32947331,080-32947331,12.9486255,77.600076
Apollo Hospitals,"No.154/11, Opp To Iimb, Bannerghatta Road",560076,080-40304050,080-41305885,12.896344,77.5978813
Sri Venkateshwara Hospital,"# 86, Hosur Main Road, Madiwala",560068,900818205,080-40416700,13.0423919,77.5136653
T.R. Hospital,"125/1 T0 7, Kothnur Dinne Main Road, Sapthagiri Layout",560078,080-41663480,080-42657788,12.8807554,77.5841671
Ramakrishna Hospital Pvt Ltd,"806/1, 15 Th Cross, Jayanagar, Iii Block, -Jayanagar, Iii Block",560011,080-40800250,080-22454888,12.8541208,77.6624811
Abhaya Eye Hospital,"#77, Bsk 3Rd Stage, 100Ft Ring Road, 5Th Block",560085,080-65316155,080-26422111,12.9271131,77.5471291
G.E.F. Eye Hospital,"A.I.R. Extension, (Old Madras Road, Nh4)",562114,08111-650501,080-25255174,13.0672067,77.7802707
Fosa Humanitarian Hospital,"Near Bannerghatta Police Station, 20Th Milestone, Bannerghatta",560083,080-7828612,,12.8130672,77.5825109
Kala Hospital,"1105, 5Th Cross, K.N. Extension, Yeshwanthpur",560022,080-23376446,080-23570446,13.0223669,77.5587304
Kalasa Maternity Home,"# 127, Bull Temple Road",560019,080-26509681,080-26711818,12.9548208,77.5672585
Malleswaram Eye Day Care Hospital,"# 24 First Floor, 5Th Cross, Near Malleswaram Circle",560003,080-23369464,080-23369464,12.9966677,77.5716037
Manipal Northside Hospital,"71, 11Th Main, Malleswaram",560003,080-23460469,080-23440471,13.0011275,77.5639285
Samprathi Eye Hospital And Squint Centre,"# 111, Railway Parallel Road, 7Th Cross Kumar Park West",560020,080-23367544,080-23360099,12.9932806,77.580691
Shalini Nursing Home,"#63, 6Th Main, B.D.A Layout, Avalahalli",560085,080-26740447,080-26740447,12.9436624,77.5419997
Kavya Hospital,Hongasandra Begur Main Road,560068,080-25735487,080-25730900,12.8987442,77.6263127
Anugraha Hospital,"No 18/2, 1St Cross, M.C. Layout, Vijayanagar",560079,080-23200330,080-23200330,12.9765645,77.5455876
Mahanth Hospital,"#8, 1St Cross, N.G.R Layout, Roopona Agrhar",560068,080-25732790,080-25736387,12.9079615,77.6235715
Sanjeevani Hospital,"381, 382, 6Th Block Rajajinagar, Near Prassanna Circle",560010,080-23590365,,13.011686,77.54385359
Kusuma Hospital,"#237/37, 10Th Main, 50 Ft. Road, Nagendra Block, Srinagar",560050,080-26421177,080-26421948,12.9420124,77.5506918
Indira Hospital,"Main Road, Jigani",562106,080-7825179,080-7825179,12.7893233,77.6272005
Karthik Hospital,"#56, 8Th Cross, Wilson Garden",560027,080-22224611,080-22132072,12.9484356,77.5942592
Shankara Nethralaya,"41-42/45, 7Th Cross, Saraswathipuram Nandini Layout Main Road",560096,080-23190865,080-23190865,13.0089953,77.5406188
Krishnadevaraya Hospital & Research Centre,Sir Mvit Campus Hunsamaranahalli,562157,080-28477023,080-28467084,13.1498837,77.608248
Dr.Kamini Rao Hospital (A Unit Of Bacc Health Care Pvt Ltd),"#909, 47Th Cross, 9Th Main, 5Th Block, Jayanagar",560041,080-26534444,080-26534444,12.9163994,77.5847384
Yogananda Medical & Research Centre,"#277, M.K. Puttalingaih Road",560007,080-26792251,080-26793281,12.9202791,77.5598033
Columbia Asia Referral Hospital,"#26/1, 80Feet Dr.Rajkumar Road, Malleshwaran West",560055,080-39898969,080-30925454,13.01440205,77.55607494
Manasa Hospital,"G.Chandranna Building, Near Old Bus Stop, Devanahalli Town",562110,080-27682385,080-27680006,12.968821,77.5246297
S.S.G Hospital,"#116/2, Herohalli, Anjananagar, Vishwaneedam Post",560091,080-69920361,080-69920361,12.9868695,77.4794832
Dr.Ramesh Hospital,"#6/63, 59Th Cross, 4Th Block, Rajajinagar Entrance",560010,080-23151873,080-23116750,13.0250141,77.5856289
Popular Hospital,"#16, 3Rd Cross, Shankerpuram",560004,080-42849500,080-26674650,12.9514854,77.5703564
Sree Venkateshwara Speciality Hospital,"#1, Gupta Layout, Lakkasandra, Bannerughatta Road",560030,080-22104329,080-42185163,12.9425246,77.6025303
Rangalakshmi Netralaya,"#2054, 13Th B Main Near Mother Dairy Cross Yelahanka New Town",560106,080-28463544,080-28463544,13.0989729,77.576732
Sagar Hospitals,"Shavige Malleshwara Hills, Kumara Swamy Layout, Banashankari",560078,080-42999999,080-42999050,12.92789135,77.59983771
Spring Leaf Health Care Pvt Ltd,"#60/3, Konappana Agrahara, Opp Infosys Convention Centre",560100,080-67345000,080-67345099,12.8526731,77.6676459
